iter	RMSE
0	938.5360319
1	894.4551854
2	853.5204518
3	815.4493231
4	778.2832478
5	743.5434269
6	711.5659222
7	684.4738057
8	659.0041153
9	633.4098808
10	610.3997783
11	587.8949744
12	566.9048409
13	548.5222119
14	532.6868617
15	516.6403223
16	502.0971511
17	488.2855153
18	476.7173088
19	466.9324182
20	456.5429602
21	447.0602394
22	438.071519
23	429.7630479
24	422.5832784
25	415.5218366
26	409.0378145
27	402.8720583
28	397.4877546
29	392.364101
30	387.7201878
31	383.4983981
32	379.4103752
33	375.5902145
34	371.9077611
35	368.4982612
36	365.6839873
37	362.8201943
38	360.009823
39	357.5560182
40	355.4441686
41	353.3089195
42	351.5989746
43	349.2527143
44	347.3501607
45	345.7881606
46	344.2835419
47	342.8820209
48	341.3640856
49	339.9694622
50	338.5461192
51	337.4557554
52	336.278267
53	335.0810312
54	334.1322008
55	333.1144334
56	331.8792185
57	330.7360325
58	329.9745019
59	329.1726627
60	328.4957327
61	327.7999899
62	327.1380089
63	326.6219679
64	325.9283133
65	325.0075302
66	324.3313385
67	323.6301108
68	322.9131728
69	322.3603927
70	321.5939736
71	321.0141761
72	320.3619977
73	319.8567855
74	318.8514966
75	318.3046959
76	317.7318691
77	317.1669473
78	316.7030609
79	316.0943706
80	315.4558515
81	314.9700318
82	314.376466
83	313.9532895
84	313.1279398
85	312.8024192
86	312.4172188
87	312.1624544
88	311.639962
89	311.3722684
90	311.0569602
91	310.8187912
92	310.5164653
93	310.1728407
94	309.6882215
95	309.4107582
96	308.9912138
97	308.7010774
98	308.3610367
99	307.9804148
100	307.3447685
101	307.0651759
102	306.7157574
103	306.4583938
104	306.1931402
105	305.8498987
106	305.6370905
107	305.2229956
108	304.8087089
109	304.420712
110	304.1349982
111	303.6498981
112	303.3950406
113	303.1911789
114	302.8261027
115	302.6010072
116	302.1478216
117	301.9094999
118	301.725227
119	301.3915679
120	301.2289268
121	301.1097532
122	300.532142
123	300.2263411
124	299.7033878
125	299.2461125
126	298.9166436
127	298.7091561
128	298.3322377
129	297.9493863
130	297.6088982
131	297.2604045
132	296.934142
133	296.7017873
134	296.3293381
135	296.0785823
136	295.8783708
137	295.5690092
138	295.3562747
139	295.1560123
140	294.7521834
141	294.5864396
142	294.3549401
143	293.9593654
144	293.5597036
145	293.153166
146	292.7214038
147	292.3941036
148	292.1383411
149	291.9755329
150	291.6851256
151	291.4613866
152	291.0699768
153	290.7454101
154	290.3548163
155	290.0080991
156	289.8900768
157	289.4427342
158	289.2235692
159	288.9448818
160	288.6397706
161	288.4283185
162	288.0772753
163	287.7284416
164	287.5535927
165	287.1896222
166	286.7871891
167	286.4302524
168	286.0164534
169	285.8330315
170	285.4992018
171	285.270345
172	284.8793575
173	284.6775576
174	284.479
175	284.0710682
176	283.9973948
177	283.835509
178	283.4067199
179	283.231067
180	283.1692932
181	282.9416044
182	282.6467285
183	282.4467501
184	282.3186906
185	282.037832
186	281.8174907
187	281.3793011
188	281.1876638
189	281.0788439
190	280.8884467
191	280.6757718
192	280.4760848
193	280.063642
194	279.8449042
195	279.5922109
196	279.3262454
197	279.268658
198	278.9255711
199	278.5706409
200	278.4587215
201	278.1694348
202	277.9847808
203	277.62852
204	277.3699565
205	277.2179179
206	277.0924115
207	277.0021248
208	276.8433807
209	276.6851421
210	276.5034539
211	276.3081833
212	276.1460275
213	275.9919609
214	275.9211079
215	275.7754726
216	275.5820717
217	275.4724384
218	275.2628294
219	274.9488127
220	274.6395773
221	274.5676574
222	274.3718929
223	274.2826981
224	274.003599
225	273.9164806
226	273.6547347
227	273.5151928
228	273.2823593
229	273.0160931
230	272.8407403
231	272.6453372
232	272.4763252
233	272.268062
234	272.1785386
235	271.8815299
236	271.6213387
237	271.4572745
238	271.2688062
239	270.9491277
240	270.6939742
241	270.4854059
242	270.2521308
243	270.114858
244	269.8607267
245	269.6116866
246	269.310592
247	269.0937152
248	268.8469407
249	268.8189208
250	268.60615
251	268.4001083
252	268.1466551
253	268.045485
254	267.8579184
255	267.5849979
256	267.5411614
257	267.3052231
258	267.2766057
259	267.0646861
260	266.8542861
261	266.6302371
262	266.4435862
263	266.3088134
264	266.041928
265	265.845189
266	265.6389529
267	265.4806352
268	265.3397113
269	265.177902
270	265.0317369
271	264.8734719
272	264.6123289
273	264.4410747
274	264.3131365
275	264.0949092
276	264.0617937
277	263.8687004
278	263.6417851
279	263.4311727
280	263.2402598
281	263.0010838
282	262.8839342
283	262.7129158
284	262.4120438
285	262.1686129
286	261.9655444
287	261.7938816
288	261.5911193
289	261.4764147
290	261.307038
291	261.174969
292	260.9973923
293	260.8446388
294	260.7715861
295	260.5171927
296	260.290309
