iter	Passed	Remaining
0	2	2658
1	4	2177
2	5	1984
3	7	1917
4	9	1969
5	11	1927
6	13	1958
7	16	2057
8	18	2054
9	20	2023
10	22	1992
11	23	1973
12	25	1949
13	27	1918
14	28	1890
15	30	1886
16	32	1906
17	34	1893
18	36	1875
19	37	1861
20	40	1879
21	42	1880
22	44	1881
23	46	1871
24	48	1876
25	49	1863
26	51	1851
27	53	1846
28	54	1834
29	57	1844
30	58	1835
31	60	1825
32	62	1818
33	64	1825
34	67	1854
35	69	1854
36	71	1850
37	73	1848
38	75	1851
39	77	1849
40	78	1846
41	81	1865
42	83	1856
43	85	1848
44	86	1841
45	89	1848
46	90	1840
47	92	1831
48	94	1824
49	96	1827
50	97	1821
51	99	1814
52	101	1805
53	102	1800
54	104	1799
55	106	1792
56	108	1788
57	109	1783
58	111	1785
59	113	1780
60	115	1774
61	116	1768
62	118	1766
63	120	1763
64	122	1759
65	123	1752
66	126	1756
67	127	1750
68	129	1745
69	130	1739
70	132	1735
71	134	1730
72	135	1726
73	137	1721
74	139	1715
75	140	1712
76	143	1714
77	144	1710
78	146	1705
79	147	1700
80	149	1696
81	151	1693
82	153	1693
83	154	1688
84	156	1684
85	158	1685
86	160	1688
87	162	1686
88	164	1682
89	165	1678
90	167	1675
91	169	1671
92	171	1668
93	172	1663
94	174	1666
95	176	1662
96	178	1658
97	179	1654
98	181	1651
99	183	1649
100	185	1649
101	186	1645
102	188	1642
103	190	1641
104	192	1638
105	193	1635
106	195	1631
107	197	1627
108	198	1624
109	200	1622
110	202	1619
111	204	1619
112	206	1620
113	208	1617
114	210	1616
115	212	1615
116	214	1616
117	216	1617
118	218	1618
119	222	1628
120	224	1627
121	226	1629
122	228	1631
123	231	1633
124	233	1631
125	235	1630
126	236	1628
127	238	1626
128	240	1622
129	241	1619
130	243	1615
131	245	1613
132	246	1609
133	249	1610
134	250	1606
135	252	1603
136	254	1605
137	256	1604
138	258	1601
139	260	1598
140	261	1595
141	263	1593
142	265	1589
143	266	1586
144	268	1584
145	271	1589
146	273	1588
147	275	1585
148	277	1584
149	279	1583
150	281	1584
151	283	1581
152	286	1584
153	288	1582
154	289	1580
155	291	1578
156	293	1576
157	295	1574
158	297	1572
159	299	1569
160	301	1570
161	303	1567
162	304	1565
163	306	1562
164	308	1560
165	309	1556
166	311	1554
167	313	1554
168	315	1553
169	317	1552
170	319	1548
171	320	1545
172	322	1541
173	324	1538
174	325	1535
175	327	1533
176	329	1530
177	330	1528
178	333	1528
179	334	1525
180	336	1522
181	337	1519
182	339	1516
183	341	1512
184	342	1509
185	345	1509
186	346	1507
187	350	1513
188	352	1511
189	354	1509
190	355	1506
191	357	1503
192	359	1503
193	361	1502
194	363	1501
195	365	1499
196	367	1496
197	368	1493
198	370	1491
199	372	1489
200	374	1487
201	376	1488
202	378	1485
203	380	1484
204	382	1482
205	383	1479
206	385	1476
207	387	1473
208	388	1470
209	390	1467
210	392	1466
211	393	1463
212	395	1462
213	397	1459
214	399	1456
215	400	1454
216	402	1451
217	403	1449
218	405	1447
219	407	1446
220	409	1444
221	412	1445
222	414	1443
223	416	1442
224	418	1441
225	420	1438
226	421	1435
227	423	1433
228	424	1430
229	426	1427
230	428	1426
231	430	1423
232	431	1421
233	433	1418
234	434	1415
235	436	1412
236	438	1410
237	439	1407
238	441	1405
239	443	1405
240	446	1405
241	447	1402
242	449	1400
243	451	1397
244	452	1394
245	454	1393
246	456	1391
247	458	1389
248	460	1389
249	462	1387
250	464	1385
251	466	1384
252	468	1384
253	471	1385
254	473	1383
255	475	1381
256	476	1378
257	478	1376
258	480	1373
259	481	1370
260	483	1369
261	485	1367
262	487	1365
263	489	1364
264	492	1366
265	495	1366
266	498	1369
267	500	1367
268	503	1367
269	504	1364
270	506	1361
271	507	1359
272	509	1357
273	511	1354
274	512	1352
275	514	1349
276	516	1347
277	518	1345
278	519	1343
279	521	1340
280	522	1337
281	524	1335
282	526	1332
283	527	1330
284	529	1327
285	531	1327
286	534	1328
287	536	1327
288	538	1324
289	540	1322
290	541	1319
291	543	1317
292	545	1316
293	547	1314
294	549	1313
295	551	1311
296	552	1308
297	554	1306
298	556	1304
299	557	1301
300	559	1299
301	561	1297
302	563	1295
303	565	1294
304	567	1292
305	568	1289
306	570	1287
307	571	1284
308	573	1282
309	575	1280
310	577	1278
311	579	1277
312	581	1275
313	582	1273
314	584	1270
315	586	1268
316	587	1266
317	589	1263
318	590	1261
319	592	1259
320	594	1256
321	596	1255
322	598	1253
323	599	1251
324	601	1248
325	603	1246
326	604	1244
327	606	1242
328	608	1240
329	609	1237
330	611	1235
331	613	1233
332	614	1231
333	616	1228
334	617	1226
335	619	1224
336	621	1221
337	622	1219
338	624	1217
339	626	1215
340	629	1216
341	633	1219
342	635	1216
343	636	1214
344	638	1212
345	640	1210
346	641	1207
347	643	1205
348	646	1205
349	647	1202
350	649	1200
351	651	1198
352	652	1196
353	654	1194
354	655	1191
355	657	1189
356	659	1187
357	661	1186
358	663	1184
359	664	1182
360	666	1179
361	668	1177
362	669	1175
363	671	1172
364	672	1170
365	674	1168
366	677	1167
367	678	1165
368	680	1163
369	681	1160
370	683	1158
371	685	1156
372	686	1154
373	688	1152
374	690	1150
375	691	1148
376	693	1146
377	695	1144
378	697	1142
379	698	1140
380	700	1138
381	702	1136
382	703	1134
383	705	1131
384	707	1130
385	709	1128
386	711	1126
387	713	1124
388	714	1122
389	716	1120
390	717	1118
391	719	1115
392	721	1113
393	723	1113
394	725	1110
395	726	1108
396	728	1106
397	730	1104
398	731	1102
399	733	1100
400	735	1098
401	736	1095
402	738	1093
403	740	1092
404	742	1091
405	744	1088
406	745	1086
407	748	1085
408	750	1083
409	751	1081
410	753	1079
411	755	1078
412	757	1076
413	759	1074
414	760	1072
415	762	1070
416	764	1068
417	765	1066
418	767	1064
419	769	1062
420	770	1060
421	773	1059
422	774	1057
423	776	1054
424	778	1052
425	779	1050
426	781	1048
427	783	1046
428	784	1044
429	786	1042
430	788	1040
431	789	1038
432	791	1036
433	793	1034
434	794	1032
435	796	1030
436	798	1028
437	799	1026
438	801	1024
439	804	1023
440	805	1021
441	807	1019
442	809	1017
443	811	1015
444	812	1013
445	814	1011
446	816	1009
447	817	1007
448	819	1006
449	821	1004
450	823	1002
451	824	1000
452	826	998
453	828	995
454	829	993
455	831	991
456	833	989
457	835	988
458	837	987
459	839	985
460	841	983
461	843	982
462	845	980
463	847	978
464	848	976
465	850	975
466	853	973
467	854	971
468	856	969
469	858	967
470	859	965
471	861	963
472	862	961
473	864	959
474	867	958
475	869	957
476	871	955
477	872	953
478	874	950
479	876	949
480	877	946
481	879	944
482	881	943
483	883	942
484	885	940
485	887	938
486	888	936
487	890	934
488	892	932
489	893	930
490	895	928
491	897	926
492	899	924
493	901	923
494	903	921
495	905	919
496	906	917
497	909	916
498	911	914
499	913	913
500	915	911
501	916	909
502	918	907
503	920	905
504	921	903
505	923	901
506	924	899
507	926	897
508	927	895
509	930	894
510	933	892
511	934	890
512	936	888
513	938	887
514	939	884
515	941	882
516	942	880
517	944	879
518	946	877
519	948	875
520	950	874
521	952	872
522	953	870
523	955	867
524	957	866
525	960	865
526	962	863
527	964	861
528	965	859
529	967	858
530	969	856
531	971	854
532	972	852
533	974	850
534	977	849
535	978	847
536	980	845
537	981	843
538	983	841
539	984	839
540	986	837
541	988	835
542	990	833
543	992	831
544	993	829
545	995	827
546	997	825
547	999	824
548	1000	822
549	1002	820
550	1004	818
551	1005	816
552	1007	814
553	1009	812
554	1010	810
555	1013	809
556	1015	807
557	1017	805
558	1018	803
559	1020	801
560	1022	800
561	1025	799
562	1027	797
563	1029	795
564	1030	793
565	1032	791
566	1034	789
567	1035	787
568	1037	785
569	1039	784
570	1041	782
571	1043	780
572	1044	778
573	1046	776
574	1048	774
575	1050	772
576	1051	770
577	1053	768
578	1054	767
579	1057	765
580	1058	763
581	1060	761
582	1062	759
583	1063	757
584	1065	755
585	1067	753
586	1068	751
587	1070	750
588	1073	748
589	1074	747
590	1076	744
591	1078	743
592	1079	741
593	1081	739
594	1083	737
595	1085	735
596	1087	734
597	1089	732
598	1090	730
599	1092	728
600	1094	726
601	1096	724
602	1098	722
603	1099	721
604	1101	719
605	1103	717
606	1106	716
607	1107	714
608	1109	712
609	1111	710
610	1112	708
611	1114	706
612	1116	704
613	1117	702
614	1119	700
615	1121	699
616	1124	697
617	1125	695
618	1127	693
619	1129	692
620	1130	690
621	1132	688
622	1134	686
